date,location,positive,tested,symptomatic,asymptomatic,sym_unknown,hosp_require,hosp_mild,hosp_severe,hosp_unknown,hosp_waiting,discharged,fatal,vaccinated_1st,vaccinated_2nd,vaccinated_3rd,vaccinated_4th,vaccinated_5th
2020-03-25,Domestic,1160,21266,1039,113,8,0,474,57,203,10,294,43,0,0,0,0,0
2020-03-25,Airport,18,1426,5,13,0,0,4,0,0,0,1,0,0,0,0,0,0
2020-03-25,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-03-26,Domestic,1254,22858,1119,127,8,0,504,56,202,11,343,45,0,0,0,0,0
2020-03-26,Airport,23,1484,10,13,0,0,9,0,0,0,1,0,0,0,0,0,0
2020-03-26,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-03-27,Domestic,1349,24663,1191,131,27,0,563,56,203,13,356,46,0,0,0,0,0
2020-03-27,Airport,23,1513,10,13,0,0,9,0,0,0,1,0,0,0,0,0,0
2020-03-27,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-03-28,Domestic,1453,26105,1251,134,68,0,651,60,224,13,388,49,0,0,0,0,0
2020-03-28,Airport,31,1530,15,16,0,0,30,0,0,0,1,0,0,0,0,0,0
2020-03-28,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-03-29,Domestic,1647,26401,1352,162,133,0,659,59,323,13,408,52,0,0,0,0,0
2020-03-29,Airport,31,1530,15,16,0,0,30,0,0,0,1,0,0,0,0,0,0
2020-03-29,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-03-30,Domestic,1820,26607,1420,190,210,0,696,59,380,13,408,54,0,0,0,0,0
2020-03-30,Airport,31,1530,15,16,0,0,30,0,0,0,1,0,0,0,0,0,0
2020-03-30,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-03-31,Domestic,1887,30088,1466,195,226,0,715,59,410,13,408,56,0,0,0,0,0
2020-03-31,Airport,51,1580,17,34,0,0,50,0,0,0,1,0,0,0,0,0,0
2020-03-31,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-04-01,Domestic,2107,32002,1594,202,311,0,797,60,417,9,456,57,0,0,0,0,0
2020-04-01,Airport,56,1677,18,38,0,0,55,0,0,0,1,0,0,0,0,0,0
2020-04-01,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-04-02,Domestic,2306,32002,1693,227,386,0,882,62,418,9,489,60,0,0,0,0,0
2020-04-02,Airport,60,1679,19,41,0,0,59,0,0,0,1,0,0,0,0,0,0
2020-04-02,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-04-03,Domestic,2541,36687,1808,241,492,0,958,64,456,10,498,63,0,0,0,0,0
2020-04-03,Airport,61,1930,19,42,0,0,60,0,0,0,1,0,0,0,0,0,0
2020-04-03,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-04-04,Domestic,2855,39992,2017,265,573,0,1183,69,389,13,559,69,0,0,0,0,0
2020-04-04,Airport,65,2061,23,42,0,0,64,0,0,0,1,0,0,0,0,0,0
2020-04-04,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-04-05,Domestic,3191,40263,2205,278,708,0,1389,70,373,13,568,70,0,0,0,0,0
2020-04-05,Airport,65,3547,23,42,0,0,64,0,0,0,1,0,0,0,0,0,0
2020-04-05,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-04-06,Domestic,3569,40481,2395,289,885,0,1551,79,386,20,575,73,0,0,0,0,0
2020-04-06,Airport,70,4862,23,47,0,0,68,0,0,0,2,0,0,0,0,0,0
2020-04-06,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-04-07,Domestic,3817,48357,2551,294,972,0,1631,80,414,35,605,80,0,0,0,0,0
2020-04-07,Airport,74,6125,24,50,0,0,72,0,0,0,2,0,0,0,0,0,0
2020-04-07,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-04-08,Domestic,4168,52901,2771,306,1091,0,1865,99,378,39,615,81,0,0,0,0,0
2020-04-08,Airport,74,7768,24,50,0,0,72,0,0,0,2,0,0,0,0,0,0
2020-04-08,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-04-09,Domestic,4667,54284,3069,335,1263,0,2143,109,356,43,668,85,0,0,0,0,0
2020-04-09,Airport,86,9274,29,57,0,0,84,0,0,0,2,0,0,0,0,0,0
2020-04-09,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-04-10,Domestic,5246,57125,3445,363,1438,0,2414,117,442,50,697,88,0,0,0,0,0
2020-04-10,Airport,86,10817,29,57,0,0,84,0,0,0,2,0,0,0,0,0,0
2020-04-10,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-04-11,Domestic,5902,61991,3874,387,1641,0,2678,122,558,64,745,94,0,0,0,0,0
2020-04-11,Airport,88,12071,29,59,0,0,86,0,0,0,2,0,0,0,0,0,0
2020-04-11,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-04-12,Domestic,6616,63132,4257,420,1939,0,3030,129,576,77,767,98,0,0,0,0,0
2020-04-12,Airport,117,13420,34,83,0,0,115,0,0,0,2,0,0,0,0,0,0
2020-04-12,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-04-13,Domestic,7123,63132,4507,444,2172,0,3161,135,623,148,782,102,0,0,0,0,0
2020-04-13,Airport,117,14741,34,83,0,0,115,0,0,0,2,0,0,0,0,0,0
2020-04-13,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-04-14,Domestic,7509,72801,4749,470,2290,0,3352,152,617,153,836,109,0,0,0,0,0
2020-04-14,Airport,121,15921,34,87,0,0,119,0,0,0,2,0,0,0,0,0,0
2020-04-14,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-04-15,Domestic,7964,76425,4991,490,2483,0,3567,168,583,160,884,119,0,0,0,0,0
2020-04-15,Airport,121,16982,34,87,0,0,119,0,0,0,2,0,0,0,0,0,0
2020-04-15,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-04-16,Domestic,8442,81825,5309,513,2620,0,3848,193,550,177,918,136,0,0,0,0,0
2020-04-16,Airport,125,18049,34,91,0,0,123,0,0,0,2,0,0,0,0,0,0
2020-04-16,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-04-17,Domestic,9027,86800,5693,539,2795,0,4103,207,560,219,995,148,0,0,0,0,0
2020-04-17,Airport,125,18743,34,91,0,0,123,0,0,0,2,0,0,0,0,0,0
2020-04-17,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-04-18,Domestic,9654,91050,6011,564,3079,0,4323,211,597,238,1052,154,0,0,0,0,0
2020-04-18,Airport,126,19446,34,92,0,0,124,0,0,0,2,0,0,0,0,0,0
2020-04-18,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-04-19,Domestic,10219,91695,6308,588,3323,0,4528,217,581,267,1142,161,0,0,0,0,0
2020-04-19,Airport,127,20292,34,93,0,0,125,0,0,0,2,0,0,0,0,0,0
2020-04-19,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-04-20,Domestic,10608,94826,6611,606,3391,0,4723,231,573,297,1222,171,0,0,0,0,0
2020-04-20,Airport,128,21070,34,94,0,0,126,0,0,0,2,0,0,0,0,0,0
2020-04-20,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-04-21,Domestic,10974,101818,6823,634,3517,0,4794,232,599,307,1339,186,0,0,0,0,0
2020-04-21,Airport,130,21903,35,95,0,0,128,0,0,0,2,0,0,0,0,0,0
2020-04-21,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-04-22,Domestic,11350,107430,7050,660,3640,0,4941,241,589,329,2023,277,0,0,0,0,0
2020-04-22,Airport,131,22328,35,96,0,0,129,0,0,0,2,0,0,0,0,0,0
2020-04-22,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-04-23,Domestic,11772,112108,7269,677,3826,0,5024,259,622,351,2391,287,0,0,0,0,0
2020-04-23,Airport,132,23046,35,97,0,0,130,0,0,0,2,0,0,0,0,0,0
2020-04-23,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-04-24,Domestic,12240,117367,7531,703,4006,0,5207,263,610,383,2519,317,0,0,0,0,0
2020-04-24,Airport,133,23404,35,98,0,0,131,0,0,0,2,0,0,0,0,0,0
2020-04-24,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-04-25,Domestic,12681,122700,7741,718,4222,0,5295,287,625,372,2645,334,0,0,0,0,0
2020-04-25,Airport,133,23925,35,98,0,0,131,0,0,0,2,0,0,0,0,0,0
2020-04-25,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-04-26,Domestic,13031,123633,7895,802,4334,0,5482,296,617,317,2798,348,0,0,0,0,0
2020-04-26,Airport,136,24612,35,101,0,0,134,0,0,0,2,0,0,0,0,0,0
2020-04-26,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-04-27,Domestic,13232,124456,8051,833,4348,0,5545,300,671,311,2888,351,0,0,0,0,0
2020-04-27,Airport,138,25407,35,103,0,0,136,0,0,0,2,0,0,0,0,0,0
2020-04-27,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-04-28,Domestic,13422,133578,8177,848,4397,0,5577,305,663,310,3170,376,0,0,0,0,0
2020-04-28,Airport,139,26138,35,104,0,0,137,0,0,0,2,0,0,0,0,0,0
2020-04-28,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-04-29,Domestic,13695,136695,8306,864,4525,0,5600,306,688,308,3357,389,0,0,0,0,0
2020-04-29,Airport,142,26731,35,107,0,0,140,0,0,0,2,0,0,0,0,0,0
2020-04-29,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-04-30,Domestic,13929,137338,8469,898,4562,0,5713,308,692,310,3449,415,0,0,0,0,0
2020-04-30,Airport,144,27442,35,109,0,0,142,0,0,0,2,0,0,0,0,0,0
2020-04-30,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-05-01,Domestic,14120,145243,8596,916,4608,0,5526,328,675,287,3964,432,0,0,0,0,0
2020-05-01,Airport,146,28078,35,111,0,0,144,0,0,0,2,0,0,0,0,0,0
2020-05-01,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-05-02,Domestic,14383,152029,8683,938,4762,0,5510,324,674,288,4194,458,0,0,0,0,0
2020-05-02,Airport,146,28669,35,111,0,0,144,0,0,0,2,0,0,0,0,0,0
2020-05-02,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-05-03,Domestic,14677,153047,8802,945,4930,0,5522,321,667,284,4368,492,0,0,0,0,0
2020-05-03,Airport,147,29375,35,112,0,0,145,0,0,0,2,0,0,0,0,0,0
2020-05-03,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-05-04,Domestic,14895,153581,8921,953,5021,0,5527,308,691,276,4479,510,0,0,0,0,0
2020-05-04,Airport,147,30176,35,112,0,0,145,0,0,0,2,0,0,0,0,0,0
2020-05-04,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-05-05,Domestic,15069,154646,9007,961,5101,0,5565,309,681,279,4570,521,0,0,0,0,0
2020-05-05,Airport,147,30868,35,112,0,0,145,0,0,0,2,0,0,0,0,0,0
2020-05-05,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-05-06,Domestic,15192,156866,9072,1005,5115,0,5396,308,652,260,4901,543,0,0,0,0,0
2020-05-06,Airport,147,31232,35,112,0,0,145,0,0,0,2,0,0,0,0,0,0
2020-05-06,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-05-07,Domestic,15300,157563,9154,1012,5134,0,5287,300,650,267,5129,551,0,0,0,0,0
2020-05-07,Airport,148,31638,35,113,0,0,146,0,0,0,2,0,0,0,0,0,0
2020-05-07,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-05-08,Domestic,15382,169546,9224,1024,5134,0,4974,287,621,270,5889,557,0,0,0,0,0
2020-05-08,Airport,150,31638,35,115,0,0,148,0,0,0,2,0,0,0,0,0,0
2020-05-08,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-05-09,Domestic,15483,179043,0,0,0,6302,0,266,0,0,8110,600,0,0,0,0,0
2020-05-09,Airport,151,32125,0,0,0,149,0,0,0,0,2,0,0,0,0,0,0
2020-05-09,Returnee,15,829,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-05-10,Domestic,15581,180478,0,0,0,6250,0,267,0,0,8276,613,0,0,0,0,0
2020-05-10,Airport,151,32949,0,0,0,149,0,0,0,0,2,0,0,0,0,0,0
2020-05-10,Returnee,15,829,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-05-11,Domestic,15630,183845,0,0,0,6074,0,249,0,0,8514,621,0,0,0,0,0
2020-05-11,Airport,153,33530,0,0,0,151,0,0,0,0,2,0,0,0,0,0,0
2020-05-11,Returnee,15,829,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-05-12,Domestic,15706,188646,0,0,0,5914,0,243,0,0,8903,643,0,0,0,0,0
2020-05-12,Airport,153,34174,0,0,0,151,0,0,0,0,2,0,0,0,0,0,0
2020-05-12,Returnee,15,829,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-05-13,Domestic,15854,188031,0,0,0,5162,0,259,0,0,9851,668,0,0,0,0,0
2020-05-13,Airport,155,34807,0,0,0,153,0,0,0,0,2,0,0,0,0,0,0
2020-05-13,Returnee,15,829,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-05-14,Domestic,15908,196816,0,0,0,4732,0,245,0,0,10321,687,0,0,0,0,0
2020-05-14,Airport,156,35499,0,0,0,154,0,0,0,0,2,0,0,0,0,0,0
2020-05-14,Returnee,15,829,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-05-15,Domestic,16022,194323,0,0,0,4339,0,237,0,0,10792,710,0,0,0,0,0
2020-05-15,Airport,156,35730,0,0,0,154,0,0,0,0,2,0,0,0,0,0,0
2020-05-15,Returnee,15,829,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-05-16,Domestic,16066,203284,0,0,0,4025,0,232,0,0,11136,725,0,0,0,0,0
2020-05-16,Airport,156,36255,0,0,0,154,0,0,0,0,2,0,0,0,0,0,0
2020-05-16,Returnee,15,829,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-05-17,Domestic,16112,206790,0,0,0,3787,0,230,0,0,11398,744,0,0,0,0,0
2020-05-17,Airport,158,36833,0,0,0,156,0,0,0,0,2,0,0,0,0,0,0
